triplet	gv	count	expected	ratio
ןיס	120	2	1.1	1.844
םמס	140	2	1.2	1.618
סעד	134	2	0.6	3.138
אמט	50	2	2.5	0.792
תעז	477	2	1.6	1.256
ךמפ	140	2	0.7	2.677
אננ	101	2	9.4	0.212
רבם	242	2	11.3	0.177
טאס	70	2	0.4	5.087
פטב	91	2	0.5	4.391
כאל	51	2	18.0	0.111
ענק	220	2	1.9	1.074
םנב	92	2	6.1	0.326
טפנ	139	2	0.3	7.284
תעם	510	2	7.7	0.261
םסר	300	2	1.6	1.288
נאצ	141	2	2.8	0.714
ננך	120	2	1.2	1.712
ךאפ	101	2	1.4	1.431
וםי	56	2	36.6	0.055
גפו	89	2	1.0	2.012
ןבל	82	2	5.4	0.372
כמס	120	2	1.0	1.993
גגה	11	2	0.4	4.465
בחט	19	2	0.8	2.633
שמק	440	2	3.8	0.528
ציצ	190	2	1.0	2.056
כלם	90	2	7.0	0.284
רחא	209	2	12.6	0.159
כקר	320	2	2.6	0.761
המג	48	2	3.1	0.653
טתמ	449	2	1.7	1.193
עסו	136	2	2.8	0.724
תנם	490	2	6.7	0.297
לףע	180	2	0.7	2.783
האס	66	2	6.1	0.327
נדה	59	2	7.0	0.287
רצן	340	2	0.8	2.459
תקה	505	2	8.5	0.237
מעק	210	2	2.7	0.733
ךנל	100	2	2.6	0.784
ךנש	370	2	1.8	1.084
זרד	211	2	1.0	1.982
ןגב	55	2	0.5	3.787
םסא	101	2	2.3	0.865
תןס	510	2	0.6	3.241
נןא	101	2	4.1	0.491
בדח	14	2	3.0	0.675
דךנ	74	2	0.8	2.399
ץבנ	142	2	0.6	3.347
רךמ	260	2	3.1	0.635
נכב	72	2	5.0	0.401
אקב	103	2	7.4	0.269
טןל	89	2	0.6	3.370
פהב	87	2	7.1	0.283
םצר	330	2	2.0	0.988
ףבל	112	2	1.0	1.910
שרג	503	2	2.1	0.935
לקכ	150	2	3.1	0.641
קוכ	126	2	4.4	0.453
התד	409	2	12.7	0.158
ןעם	160	2	1.8	1.099
זינ	67	2	2.5	0.813
פעל	180	2	3.7	0.536
םחל	78	2	5.9	0.340
עאמ	111	2	15.7	0.127
רמח	248	2	6.7	0.297
כבכ	42	2	4.3	0.460
ךאמ	61	2	4.7	0.427
סלו	96	2	5.3	0.378
תוס	466	2	4.4	0.453
לפק	210	2	1.6	1.283
סרד	264	2	1.0	1.942
וחפ	94	2	3.4	0.592
עטת	479	2	1.3	1.535
מרם	280	2	10.0	0.201
וןס	116	2	1.0	1.906
קתמ	540	2	4.4	0.459
תחד	412	2	3.2	0.616
דעש	374	2	4.4	0.453
מםי	90	2	17.3	0.115
יסל	100	2	5.5	0.365
בזז	16	2	0.3	7.010
קוח	114	2	3.7	0.543
ןתפ	530	2	1.2	1.694
צתב	492	2	3.1	0.648
אןש	351	2	6.4	0.311
כסם	120	2	0.7	2.714
דםש	344	2	4.2	0.480
דמן	94	2	1.6	1.287
וצמ	136	2	4.6	0.432
רתצ	690	2	3.4	0.584
שנח	358	2	4.0	0.506
עוח	84	2	8.8	0.227
לצנ	170	2	2.2	0.896
למכ	90	2	9.6	0.208
גדג	10	2	0.1	17.778
מעצ	200	2	1.7	1.173
השט	314	2	2.8	0.709
כנר	270	2	5.5	0.362
ןכס	130	2	0.3	6.752
ןנש	400	2	2.3	0.852
קיב	112	2	8.7	0.230
נסש	410	2	1.2	1.613
צחג	101	2	0.2	12.545
ידג	17	2	1.7	1.191
צחא	99	2	2.0	0.980
שפכ	400	2	2.1	0.966
בבח	12	2	6.9	0.290
טיכ	39	2	1.8	1.139
עדק	174	2	1.3	1.505
רנע	320	2	7.2	0.278
בקל	132	2	5.9	0.338
םכע	130	2	3.7	0.544
םקו	146	2	5.4	0.368
צךב	112	2	0.6	3.469
קוע	176	2	5.8	0.347
וגמ	49	2	3.3	0.600
קהנ	155	2	4.6	0.430
פסג	143	2	0.1	27.266
בקי	112	2	8.7	0.230
תבם	442	2	11.2	0.179
הפי	95	2	13.6	0.147
ץמת	530	2	1.0	2.084
בגי	15	2	3.9	0.512
םתל	470	2	14.7	0.136
ךסו	86	2	0.8	2.425
חצב	100	2	1.2	1.619
תםפ	520	2	2.9	0.681
ךדג	27	2	0.2	11.203
סתה	465	2	4.1	0.493
ךכן	90	2	0.4	4.534
חסר	268	2	1.1	1.904
הרר	405	2	33.1	0.061
ךער	290	2	2.4	0.817
בלפ	112	2	5.4	0.368
ךלל	80	2	5.6	0.359
ךחש	328	2	1.3	1.488
דכי	34	2	6.9	0.292
גרל	233	2	3.0	0.677
לסו	96	2	5.3	0.378
קוו	112	2	15.7	0.128
גנך	73	2	0.3	7.993
הרנ	255	2	18.0	0.111
כצב	112	2	1.5	1.350
ובך	28	2	6.0	0.334
ךשש	620	2	2.9	0.686
דבב	8	2	6.8	0.296
ץתש	790	2	1.0	1.932
תפס	540	2	0.6	3.209
םענ	160	2	4.2	0.475
באס	63	2	3.6	0.561
בחג	13	2	0.9	2.249
טיך	39	2	0.7	2.927
לךת	450	2	4.6	0.431
דחה	17	2	5.1	0.394
גגב	8	2	0.3	7.646
נךנ	120	2	1.2	1.712
ףגד	87	2	0.0	45.258
לסכ	110	2	1.5	1.337
םדו	50	2	8.2	0.245
יךס	90	2	0.9	2.346
שיד	314	2	12.4	0.161
טגר	212	2	0.2	8.074
כיס	90	2	2.2	0.913
יזנ	67	2	2.5	0.813
מיר	250	2	29.6	0.068
באך	23	2	5.3	0.377
דחת	412	2	3.2	0.616
לקת	530	2	6.5	0.308
רחר	408	2	8.5	0.236
שגע	373	2	1.3	1.510
םתט	449	2	1.2	1.625
תאס	461	2	3.9	0.511
צמא	131	2	4.1	0.487
ענג	123	2	0.8	2.386
עום	116	2	13.0	0.154
צךי	120	2	1.1	1.800
בךל	52	2	4.2	0.473
רפך	300	2	0.9	2.131
הבם	47	2	17.4	0.115
עיס	140	2	2.9	0.700
שךק	420	1	0.9	1.139
עץפ	240	1	0.2	5.586
רזר	407	1	2.6	0.384
ץנפ	220	1	0.2	6.360
כדמ	64	1	3.1	0.319
דגת	407	1	1.0	1.046
קעש	470	1	2.9	0.340
נהט	64	1	1.8	0.560
ץוש	396	1	1.8	0.568
מחכ	68	1	3.2	0.312
םעפ	190	1	1.8	0.544
מחי	58	1	11.7	0.085
ץהד	99	1	0.7	1.370
ץכו	116	1	1.0	1.028
ךקד	124	1	0.4	2.521
יסג	73	1	0.5	1.861
צםמ	170	1	1.6	0.621
ילז	47	1	5.4	0.186
בופ	88	1	7.7	0.130
נפק	230	1	0.7	1.400
קחנ	158	1	1.2	0.840
גןל	83	1	0.7	1.439
חשכ	328	1	3.5	0.290
גחנ	61	1	0.5	1.866
ופך	106	1	1.6	0.634
העצ	165	1	3.3	0.302
רנך	270	1	2.1	0.465
קוץ	196	1	0.5	1.887
זעת	477	1	1.6	0.628
חגם	51	1	0.6	1.735
מעץ	200	1	0.6	1.665
לגן	83	1	0.7	1.439
ךעץ	180	1	0.1	7.177
דאד	9	1	4.8	0.209
באק	103	1	7.4	0.134
חחט	25	1	0.3	3.001
בץו	98	1	1.8	0.541
םקי	150	1	5.6	0.178
תכח	428	1	4.0	0.251
ןגר	253	1	0.6	1.708
רגק	303	1	0.6	1.552
ודק	110	1	3.6	0.277
עקי	180	1	6.0	0.168
וצל	126	1	6.9	0.145
גוק	109	1	1.1	0.923
רדש	504	1	7.1	0.140
ןרו	256	1	8.5	0.118
תחם	448	1	4.9	0.204
ץחמ	138	1	0.4	2.604
קץכ	210	1	0.1	6.683
הבצ	97	1	4.8	0.207
ךזכ	47	1	0.2	4.382
לרמ	270	1	20.2	0.049
קלפ	210	1	1.6	0.641
ועכ	96	1	10.6	0.095
םרו	246	1	21.0	0.048
סכר	280	1	1.3	0.793
ץהל	125	1	2.2	0.448
צהח	103	1	2.1	0.473
חנח	66	1	1.8	0.549
יתט	419	1	3.7	0.273
דשח	312	1	2.8	0.354
ףכל	130	1	0.6	1.814
ץזר	297	1	0.1	6.749
עוק	176	1	5.8	0.174
ץוח	104	1	0.8	1.233
ךדם	64	1	0.9	1.115
דםד	48	1	1.9	0.531
נחז	65	1	0.6	1.786
ץפו	176	1	0.5	2.056
חאי	19	1	21.9	0.046
ןעב	122	1	2.8	0.356
חשם	348	1	4.3	0.235
שכת	720	1	8.6	0.116
דדנ	58	1	1.8	0.571
נפר	330	1	2.8	0.362
םכו	66	1	10.0	0.100
ץהה	100	1	2.9	0.344
חבת	410	1	7.6	0.132
רסן	310	1	0.6	1.603
תרס	660	1	2.6	0.381
גרג	206	1	0.3	3.448
עזה	82	1	2.5	0.402
הסד	69	1	1.6	0.629
עוץ	166	1	1.3	0.788
לגכ	53	1	1.4	0.713
ןיל	90	1	10.4	0.096
ודד	14	1	5.4	0.185
שלף	410	1	1.0	1.003
וזל	43	1	5.2	0.193
שבם	342	1	9.7	0.103
צתם	530	1	2.0	0.500
ץשפ	470	1	0.2	4.026
סעם	170	1	1.0	1.041
וץע	166	1	1.3	0.788
יצם	140	1	3.5	0.284
שדח	312	1	2.8	0.354
דחי	22	1	5.7	0.175
שדא	305	1	10.6	0.094
וגא	10	1	6.2	0.160
דתת	804	1	8.1	0.123
ייס	80	1	8.0	0.125
טבן	61	1	0.5	2.217
ממו	86	1	22.8	0.044
כהמ	65	1	12.5	0.080
ךיח	38	1	2.7	0.368
ךקח	128	1	0.4	2.471
דנא	55	1	6.7	0.149
גןי	63	1	1.0	0.982
דםר	244	1	4.9	0.206
שםצ	430	1	1.7	0.576
כעפ	170	1	1.5	0.670
ץגם	133	1	0.1	12.057
ךעי	100	1	4.3	0.235
ךצב	112	1	0.6	1.734
פטה	94	1	0.8	1.282
צןת	540	1	0.8	1.243
לךצ	140	1	0.8	1.318
םצב	132	1	1.8	0.548
נרו	256	1	19.6	0.051
דףע	154	1	0.2	4.256
לקע	200	1	4.1	0.246
דפם	124	1	1.2	0.868
ןקנ	200	1	0.7	1.414
מגן	93	1	0.5	2.145
לךס	110	1	0.6	1.718
אהם	46	1	28.8	0.035
קםס	200	1	0.4	2.491
שךז	327	1	0.4	2.422
חוצ	104	1	2.3	0.434
עזמ	117	1	1.3	0.780
זלו	43	1	5.2	0.193
הפג	88	1	0.9	1.095
הגז	15	1	0.5	2.137
עךנ	140	1	1.3	0.752
רגש	503	1	2.1	0.467
חשר	508	1	7.3	0.137
סיע	140	1	2.9	0.350
חתך	428	1	1.5	0.646
דהג	12	1	1.5	0.670
ךלד	54	1	1.8	0.550
רלד	234	1	9.8	0.102
ספך	160	1	0.1	8.591
אקי	111	1	14.3	0.070
כחם	68	1	2.4	0.425
עגו	79	1	2.6	0.386
קרר	500	1	5.5	0.181
ךכע	110	1	1.2	0.861
תצח	498	1	1.4	0.738
מנם	130	1	5.4	0.185
חשש	608	1	6.2	0.160
קתו	506	1	9.2	0.109
שקפ	480	1	1.1	0.886
זעק	177	1	0.4	2.401
אףת	481	1	1.4	0.694
עחל	108	1	6.2	0.161
פטכ	109	1	0.2	4.171
קםח	148	1	1.3	0.781
קםל	170	1	3.8	0.260
נלי	90	1	24.0	0.042
בםמ	82	1	9.0	0.111
סבו	68	1	4.0	0.248
דזק	111	1	0.3	3.831
טשפ	389	1	0.4	2.306
תסג	463	1	0.3	3.271
בסנ	112	1	1.3	0.768
פהח	93	1	3.1	0.322
עקת	570	1	3.4	0.295
לשח	338	1	8.6	0.116
תפן	530	1	1.2	0.847
דךח	32	1	0.6	1.648
מצע	200	1	1.7	0.586
לטש	339	1	2.2	0.461
הגפ	88	1	0.9	1.095
מדש	344	1	5.7	0.176
טמת	449	1	1.7	0.597
טמצ	139	1	0.3	3.650
רין	260	1	8.7	0.114
ךמת	460	1	3.1	0.321
לםג	73	1	1.7	0.579
ךלנ	100	1	2.6	0.392
עדך	94	1	0.9	1.054
אאך	22	1	8.8	0.114
רנב	252	1	10.5	0.095
פאא	82	1	11.3	0.089
הםס	105	1	2.4	0.417
ללל	90	1	35.8	0.028
ךשר	520	1	3.4	0.295
כמט	69	1	0.8	1.243
כחס	88	1	0.5	2.005
תתק	900	1	5.4	0.185
בעכ	92	1	5.7	0.176
טעא	80	1	2.0	0.510
זבס	69	1	0.3	3.435
ץעק	260	1	0.2	5.126
כהג	28	1	1.8	0.547
תגח	411	1	1.0	1.025
כהפ	105	1	3.7	0.269
מתש	740	1	14.5	0.069
ןצח	148	1	0.3	3.107
ןעפ	200	1	0.7	1.353
לעפ	180	1	3.7	0.268
םשד	344	1	4.2	0.240
עתצ	560	1	2.1	0.472
סדע	134	1	0.6	1.569
טינ	69	1	2.0	0.497
גםג	46	1	0.2	5.897
דעם	114	1	3.0	0.333
רטב	211	1	1.9	0.521
ירץ	300	1	2.1	0.472
דלק	134	1	2.5	0.393
טמי	59	1	2.9	0.339
ץעו	166	1	1.3	0.788
נזם	97	1	0.8	1.209
קלם	170	1	3.8	0.260
חהג	16	1	1.5	0.657
ץרג	293	1	0.1	7.049
אםד	45	1	7.2	0.138
אכו	27	1	25.4	0.039
כדך	44	1	0.7	1.374
םגמ	83	1	1.2	0.862
יךר	230	1	6.9	0.146
רשז	507	1	2.2	0.448
קםר	340	1	3.2	0.309
חהצ	103	1	2.1	0.473
יקש	410	1	8.3	0.121
שבק	402	1	4.3	0.233
חנך	78	1	0.9	1.176
ץקד	194	1	0.1	8.179
חדד	16	1	1.3	0.785
צצו	186	1	0.9	1.063
ממע	150	1	8.4	0.119
לאם	71	1	22.1	0.045
בדצ	96	1	1.2	0.826
יזד	21	1	1.8	0.570
ונז	63	1	2.4	0.420
זעש	377	1	1.4	0.723
טשכ	329	1	0.9	1.153
נהצ	145	1	2.9	0.344
אום	47	1	31.3	0.032
רחפ	288	1	2.0	0.497
רלנ	280	1	13.8	0.072
שטנ	359	1	1.0	1.007
ךרק	320	1	1.0	0.978
ילן	90	1	10.4	0.096
צוד	100	1	2.3	0.443
דצי	104	1	2.3	0.429
םטב	51	1	1.1	0.891
קתצ	590	1	0.9	1.129
וםנ	96	1	11.4	0.087
קלק	230	1	1.7	0.589
דוך	30	1	2.6	0.388
דיצ	104	1	2.3	0.429
חקח	116	1	0.9	1.153
צדצ	184	1	0.2	4.607
אצל	121	1	6.1	0.164
הןג	58	1	0.9	1.106
שסמ	400	1	1.8	0.551
דופ	90	1	3.3	0.302
רגה	208	1	3.8	0.260
רגך	223	1	0.5	2.173
קקצ	290	1	0.2	4.319
עןק	220	1	0.8	1.242
ךחר	228	1	1.6	0.639
כבב	24	1	8.3	0.121
ץיע	170	1	1.3	0.763
צקש	490	1	0.8	1.301
ךעצ	180	1	0.4	2.527
נםה	95	1	10.5	0.095
ןשת	750	1	4.3	0.234
בכן	72	1	2.2	0.464
פחה	93	1	3.1	0.322
ףיע	160	1	1.1	0.950
בטן	61	1	0.5	2.217
ודן	60	1	3.3	0.305
גםי	53	1	2.5	0.395
גדב	9	1	0.9	1.147
דזל	41	1	1.2	0.835
צאד	95	1	2.0	0.500
טקח	117	1	0.2	4.591
זבד	13	1	0.9	1.099
דטו	19	1	1.4	0.721
ןאם	91	1	4.4	0.228
םהס	105	1	2.4	0.417
םגנ	93	1	0.8	1.263
ןהן	105	1	1.8	0.548
הטל	44	1	3.9	0.256
ןפצ	220	1	0.2	5.180
חשף	388	1	0.3	3.006
פצל	200	1	1.0	1.026
עטי	89	1	2.3	0.437
ףהצ	175	1	0.2	4.091
פרץ	370	1	0.3	3.457
ןרב	252	1	4.5	0.220
עתן	520	1	3.1	0.325
חלף	118	1	0.5	2.176
כרך	240	1	1.9	0.533
ןרח	258	1	2.0	0.502
גזז	17	1	0.0	27.154
שגל	333	1	2.5	0.394
בתק	502	1	4.9	0.203
קעא	171	1	5.1	0.196
חךב	30	1	1.4	0.709
ףוב	88	1	1.5	0.674
נכס	130	1	0.7	1.459
ףנכ	150	1	0.3	3.959
ןתג	453	1	0.6	1.727
רךנ	270	1	2.1	0.465
בבל	34	1	20.7	0.048
מךר	260	1	3.1	0.318
זיך	37	1	0.8	1.197
יטר	219	1	3.7	0.270
חטנ	67	1	0.5	2.184
בוק	108	1	8.4	0.119
דדש	308	1	2.8	0.362
ךעב	92	1	2.2	0.453
עכפ	170	1	1.5	0.670
ןצא	141	1	1.2	0.825
בפח	90	1	1.8	0.552
דאב	7	1	11.2	0.090
צהש	395	1	4.6	0.218
ךקט	129	1	0.1	9.835
גשך	323	1	0.4	2.530
צוג	99	1	0.7	1.476
צאכ	111	1	2.4	0.409
לןב	82	1	5.4	0.186
בקא	103	1	7.4	0.134
כףי	110	1	0.8	1.238
עכף	170	1	0.3	3.477
אבק	103	1	7.4	0.134
חךכ	48	1	0.7	1.346
צלנ	170	1	2.2	0.448
לעע	170	1	9.7	0.103
ףיר	290	1	1.7	0.588
חבק	110	1	2.0	0.506
חנן	108	1	1.1	0.924
גשג	306	1	0.2	4.015
ףור	286	1	1.6	0.608
רפג	283	1	0.6	1.691
ציג	103	1	0.7	1.428
קןא	151	1	1.9	0.516
צבש	392	1	2.7	0.373
מתן	490	1	4.0	0.252
מלל	100	1	24.0	0.042
יסח	78	1	1.8	0.548
ץהנ	145	1	1.0	0.977
נקח	158	1	1.2	0.840
טחו	23	1	1.4	0.706
קרם	340	1	3.2	0.309
בזו	15	1	3.9	0.253
יעכ	100	1	10.9	0.091
הכז	32	1	1.9	0.524
רחך	228	1	1.6	0.639
טמן	99	1	0.4	2.511
נגל	83	1	1.6	0.622
לצי	130	1	7.1	0.140
ךבן	72	1	0.8	1.193
ףתי	490	1	1.7	0.594
קנז	157	1	0.4	2.733
וףג	89	1	0.2	5.220
וףנ	136	1	0.9	1.118
וףמ	126	1	1.3	0.763
וטן	65	1	0.8	1.189
טןח	67	1	0.2	5.053
אענ	121	1	10.7	0.093
ףלו	116	1	2.0	0.512
ףאצ	171	1	0.2	4.242
וףד	90	1	0.6	1.567
רץש	590	1	1.0	0.955
טרד	213	1	0.8	1.212
ףית	490	1	1.7	0.594
וףפ	166	1	0.4	2.560
ףקנ	230	1	0.1	7.266
זאל	38	1	4.6	0.217
וףת	486	1	1.6	0.614
ףמב	122	1	0.7	1.423
ףעי	160	1	1.1	0.950
ץמג	133	1	0.1	8.852
ןזק	157	1	0.2	6.322
וין	66	1	14.7	0.068
ךרע	290	1	2.4	0.409
מקח	148	1	1.7	0.573
שנס	410	1	1.2	0.807
םנכ	110	1	3.2	0.310
םמד	84	1	3.9	0.259
םסח	108	1	0.6	1.628
ףבב	84	1	0.8	1.256
טעד	83	1	0.5	1.957
זיב	19	1	4.1	0.245
אכא	22	1	22.5	0.044
לגז	40	1	0.4	2.782
זיצ	107	1	0.7	1.367
גזצ	100	1	0.0	20.416
יףו	96	1	2.9	0.350
חעי	88	1	9.1	0.110
רךת	620	1	3.9	0.256
זונ	63	1	2.4	0.420
לחג	41	1	1.2	0.855
תמך	460	1	3.1	0.321
שבג	305	1	1.9	0.518
רזנ	257	1	1.4	0.707
בבט	13	1	1.7	0.578
פרצ	370	1	0.8	1.218
יךפ	110	1	1.6	0.613
רחס	268	1	1.1	0.952
זבכ	29	1	1.1	0.898
תתפ	880	1	5.0	0.201
חבג	13	1	0.9	1.125
עאד	75	1	7.7	0.131
הסה	70	1	6.3	0.158
ןחל	88	1	2.4	0.423
הנם	95	1	10.5	0.095
זעפ	157	1	0.4	2.616
סיפ	150	1	1.1	0.913
ףהל	115	1	1.8	0.558
אכפ	101	1	3.6	0.278
כףפ	180	1	0.1	9.069
סףז	147	1	0.0	67.747
רגי	213	1	4.3	0.231
נבג	55	1	1.2	0.819
ףאף	161	1	0.1	15.001
בסל	92	1	2.8	0.352
וךע	96	1	4.1	0.243
ץשנ	440	1	0.6	1.758
חלם	78	1	5.9	0.170
יקץ	200	1	0.5	1.825
םדק	144	1	1.3	0.797
פתק	580	1	1.3	0.770
הדק	109	1	3.3	0.302
קץפ	270	1	0.1	13.367
מזכ	67	1	1.0	1.017
טבח	19	1	0.8	1.317
נספ	190	1	0.3	2.919
פתת	880	1	5.0	0.201
קץו	196	1	0.5	1.887
צנמ	180	1	1.5	0.667
שדפ	384	1	1.7	0.591
מגי	53	1	3.4	0.290
חדה	17	1	5.1	0.197
ממה	85	1	21.0	0.048
וחכ	34	1	6.8	0.148
קכל	150	1	3.1	0.321
ףצפ	250	1	0.0	26.625
נתפ	530	1	2.7	0.366
סנת	510	1	1.4	0.700
קבץ	192	1	0.3	3.518
התת	805	1	32.3	0.031
ןיק	160	1	2.3	0.442
חדנ	62	1	1.8	0.560
ךמר	260	1	3.1	0.318
טןת	459	1	0.5	2.022
חננ	108	1	2.5	0.400
יץב	102	1	1.9	0.523
סבמ	102	1	1.9	0.524
ךתנ	470	1	2.1	0.470
גון	59	1	1.0	1.016
נדע	124	1	2.8	0.358
םטפ	129	1	0.3	3.387
קשנ	450	1	2.6	0.387
צגת	493	1	0.4	2.510
אזא	9	1	5.8	0.173
טצר	299	1	0.3	2.906
עטד	83	1	0.5	1.957
כאת	421	1	15.0	0.067
ףהמ	125	1	1.2	0.831
ףלק	210	1	0.3	3.329
בצה	97	1	4.8	0.207
ןמס	150	1	0.5	2.013
סףכ	160	1	0.1	17.351
רכצ	310	1	1.6	0.609
לכא	51	1	18.0	0.056
עיג	83	1	2.7	0.373
ףתש	780	1	0.8	1.203
שכד	324	1	3.4	0.295
שגת	703	1	2.1	0.473
ךנג	73	1	0.3	3.997
גםע	113	1	0.9	1.109
ףמה	125	1	1.2	0.831
רכמ	260	1	8.1	0.124
צטד	103	1	0.1	7.493
בזק	109	1	0.6	1.647
לדז	41	1	1.2	0.835
ןשא	351	1	6.4	0.155
פקל	210	1	1.6	0.641
ףהע	155	1	0.9	1.069
ביח	20	1	13.3	0.075
כןד	74	1	0.9	1.080
טבב	13	1	1.7	0.578
ךזא	28	1	0.7	1.397
תלט	439	1	2.5	0.400
חכז	35	1	0.5	2.046
ףחי	98	1	0.7	1.485
לךג	53	1	0.5	1.831
ץוז	103	1	0.2	4.014
ןסר	310	1	0.6	1.603
בפד	86	1	1.8	0.563
צבן	142	1	0.7	1.363
עהח	83	1	8.1	0.124
ןלל	110	1	7.1	0.141
בשש	602	1	14.2	0.070
מפי	130	1	7.0	0.142
ןחש	358	1	1.7	0.585
חצא	99	1	2.0	0.490
גשנ	353	1	1.2	0.860
אגי	14	1	6.5	0.155
מגו	49	1	3.3	0.300
מיט	59	1	2.9	0.339
הטף	94	1	0.2	6.653
ןמפ	170	1	1.0	1.052
פסכ	160	1	0.3	3.343
םתם	480	1	7.2	0.138
םגו	49	1	2.4	0.408
תןז	457	1	0.6	1.653
קןי	160	1	2.3	0.442
זקע	177	1	0.4	2.401
קאד	105	1	3.2	0.313
אקנ	151	1	4.5	0.223
עוז	83	1	2.7	0.369
לטפ	119	1	0.6	1.669
ךשי	330	1	5.9	0.169
טהפ	94	1	0.8	1.282
אאפ	82	1	11.3	0.089
דגו	13	1	1.6	0.615
ךיב	32	1	6.2	0.161
פחז	95	1	0.2	4.092
םעק	210	1	2.0	0.499
זוע	83	1	2.7	0.369
לקם	170	1	3.8	0.260
צםב	132	1	1.8	0.548
דךב	26	1	1.4	0.723
קמב	142	1	4.0	0.252
לגפ	113	1	0.7	1.425
ףימ	130	1	1.4	0.738
גרם	243	1	1.5	0.687
סדן	114	1	0.2	4.132
ןנח	108	1	1.1	0.924
ךעק	190	1	0.6	1.580
ביס	72	1	4.2	0.240
עתך	490	1	2.4	0.413
סגד	67	1	0.1	8.342
דיג	17	1	1.7	0.595
קבס	162	1	0.6	1.615
כתש	720	1	8.6	0.116
פבנ	132	1	2.5	0.402
מכפ	140	1	1.9	0.521
חנט	67	1	0.5	2.184
עןש	420	1	2.7	0.374
קטפ	189	1	0.1	7.655
ספד	144	1	0.2	4.092
דזה	16	1	1.6	0.642
שטמ	349	1	1.5	0.687
ךצו	116	1	1.1	0.930
נאפ	131	1	4.1	0.243
שעא	371	1	16.9	0.059
עעב	142	1	7.4	0.135
דכן	74	1	0.9	1.080
טבא	12	1	2.9	0.350
בזפ	89	1	0.6	1.795
קלד	134	1	2.5	0.393
ןכה	75	1	3.7	0.271
ויך	36	1	11.6	0.087
טמנ	99	1	0.9	1.086
עהד	79	1	7.9	0.126
ץמד	134	1	0.4	2.657
הטי	24	1	5.7	0.175
שען	420	1	2.7	0.374
רתן	650	1	5.0	0.201
בתן	452	1	4.5	0.223
ץנכ	160	1	0.3	3.180
עקו	176	1	5.8	0.174
תצע	560	1	2.1	0.472
קתם	540	1	3.2	0.312
עןמ	160	1	2.5	0.403
סמש	400	1	1.8	0.551
בזנ	59	1	1.3	0.784
שדב	306	1	6.4	0.156
אזד	12	1	1.5	0.665
קשי	410	1	8.3	0.121
כבם	62	1	5.4	0.187
כתך	440	1	1.9	0.539
חצפ	178	1	0.3	3.077
תןד	454	1	1.9	0.518
ירף	290	1	1.7	0.588
ןדמ	94	1	1.6	0.644
פגש	383	1	0.5	1.969
נזב	59	1	1.3	0.784
ןהם	95	1	4.5	0.220
פץה	175	1	0.4	2.239
ששק	700	1	4.1	0.245
כםד	64	1	2.3	0.434
רמד	244	1	6.6	0.151
שםג	343	1	1.3	0.799
םנל	120	1	8.1	0.124
צלת	520	1	4.1	0.246
בדד	10	1	2.9	0.344
נפג	133	1	0.3	3.111
ןוס	116	1	1.0	0.953
חסא	69	1	1.6	0.639
אקש	401	1	7.1	0.141
כשפ	400	1	2.1	0.483
פךל	130	1	1.1	0.898
בדנ	56	1	4.1	0.246
דגה	12	1	1.5	0.670
טתך	429	1	0.4	2.572
טךע	99	1	0.2	4.110
הכד	29	1	6.1	0.164
ןנט	109	1	0.3	3.678
והך	31	1	10.3	0.097
כנם	110	1	3.2	0.310
לחע	108	1	6.2	0.161
כוז	33	1	2.1	0.481
ןנז	107	1	0.3	3.008
חרר	408	1	8.5	0.118
אןד	55	1	2.9	0.344
למג	73	1	2.4	0.425
כחד	32	1	1.6	0.641
רכע	290	1	6.3	0.159
סמת	500	1	2.1	0.478
הצמ	135	1	4.3	0.235
בנע	122	1	6.5	0.154
פךי	110	1	1.6	0.613
שךע	390	1	2.1	0.476
שחש	608	1	6.2	0.160
שךא	321	1	5.1	0.198
קצא	191	1	1.3	0.750
יצג	103	1	0.7	1.428
גםט	52	1	0.1	6.905
תסף	540	1	0.1	8.328
אאס	62	1	5.9	0.170
דרא	205	1	12.4	0.081
כחצ	118	1	0.7	1.538
קהג	108	1	1.0	1.005
צוס	156	1	0.7	1.385
םיא	51	1	32.4	0.031
חפז	95	1	0.2	4.092
סחה	73	1	1.6	0.616
סחת	468	1	1.0	0.962
מץו	136	1	1.6	0.613
םאך	61	1	3.4	0.290
צתע	560	1	2.1	0.472
חמצ	138	1	1.1	0.917
הגע	78	1	2.4	0.420
בסף	142	1	0.1	9.133
גףא	84	1	0.2	5.893
סחע	138	1	0.7	1.538
קםפ	220	1	0.8	1.302
גםצ	133	1	0.2	4.246
חןה	63	1	3.1	0.325
עמס	170	1	1.3	0.764
דמט	53	1	0.7	1.521
ףוג	89	1	0.2	5.220
גתמ	443	1	2.0	0.510
ץשל	420	1	1.2	0.805
רןז	257	1	0.6	1.635
זיק	117	1	1.2	0.855
מץה	135	1	1.5	0.667
עיח	88	1	9.1	0.110
טרח	217	1	0.8	1.187
ןמג	93	1	0.5	2.145
זקת	507	1	0.7	1.502
קחע	178	1	1.4	0.738
כבפ	102	1	2.2	0.460
הנל	85	1	21.3	0.047
ףתה	485	1	1.5	0.669
נאד	55	1	6.7	0.149
כחי	38	1	7.0	0.143
רעץ	360	1	0.8	1.326
רסק	360	1	0.7	1.456
חחר	216	1	3.4	0.298
חאפ	89	1	3.0	0.334
קפא	181	1	2.0	0.511
נשפ	430	1	2.4	0.422
וחך	34	1	2.6	0.380
