triplet	gv	count	expected	ratio
ךבב	24	2	3.2	0.622
ינק	160	2	5.2	0.382
מךע	130	2	1.9	1.026
ךיצ	120	2	1.1	1.800
יסך	90	2	0.9	2.346
צקע	260	2	0.6	3.610
יבצ	102	2	5.4	0.369
לךר	250	2	4.7	0.426
אחב	11	2	11.4	0.176
קןו	156	2	2.2	0.914
זבן	59	2	0.6	3.626
ןבש	352	2	3.9	0.513
געת	473	2	1.5	1.311
פזב	89	2	0.6	3.591
וףצ	176	2	0.3	7.516
ףקר	380	2	0.3	7.901
אצר	291	2	5.2	0.388
כרן	270	2	2.4	0.838
שןע	420	2	2.7	0.748
וףע	156	2	1.0	1.964
םעי	120	2	13.5	0.149
מבצ	132	2	2.5	0.805
מלה	75	2	31.2	0.064
נןב	102	2	2.5	0.811
ופע	156	2	5.3	0.378
דבת	406	2	7.4	0.270
םנצ	180	2	1.1	1.818
דתן	454	2	1.9	1.036
ובט	17	2	3.2	0.620
דוג	13	2	1.6	1.231
בצע	162	2	1.9	1.035
רדא	205	2	12.4	0.162
מדנ	94	2	3.6	0.557
הקם	145	2	5.0	0.400
ןער	320	2	3.1	0.642
רצע	360	2	2.1	0.934
פןנ	180	2	0.6	3.082
דלד	38	2	3.8	0.523
קדה	109	2	3.3	0.603
פהת	485	2	7.8	0.258
ףות	486	2	1.6	1.229
ךאע	91	2	3.6	0.549
חאד	13	2	4.9	0.409
סדו	70	2	1.7	1.155
חפו	94	2	3.4	0.592
ףפר	360	2	0.2	8.610
דשר	504	2	7.1	0.281
שחל	338	2	8.6	0.232
דאי	15	2	21.5	0.093
תרנ	650	2	11.5	0.174
סעל	160	2	1.9	1.026
אעמ	111	2	15.7	0.127
גםפ	123	2	0.3	5.785
ןהס	115	2	1.0	2.075
ששר	800	2	15.8	0.127
ארע	271	2	19.7	0.101
טאי	20	2	5.5	0.363
לחפ	118	2	2.4	0.839
תוט	415	2	3.5	0.565
םהט	54	2	1.9	1.041
אמא	42	2	37.8	0.053
קבצ	192	2	0.8	2.477
אכז	28	2	1.8	1.087
כסא	81	2	1.9	1.065
ףרא	281	2	1.5	1.372
כבת	422	2	9.1	0.221
דלל	64	2	11.7	0.171
טיפ	99	2	0.9	2.278
עבל	102	2	14.2	0.141
קהר	305	2	8.6	0.234
ףעש	450	2	0.5	3.844
תנכ	470	2	5.5	0.366
ץבא	93	2	1.6	1.222
םבז	49	2	1.4	1.458
עןר	320	2	3.1	0.642
בכס	82	2	1.1	1.759
כומ	66	2	13.6	0.147
לבם	72	2	13.4	0.149
שצר	590	2	3.0	0.673
ףאי	91	2	2.5	0.789
ןתק	550	2	1.3	1.554
ךאכ	41	2	2.8	0.715
םקח	148	2	1.3	1.562
םרח	248	2	5.0	0.404
חטב	19	2	0.8	2.633
רדנ	254	2	4.5	0.443
ףהב	87	2	1.4	1.467
ינכ	80	2	9.6	0.208
ואז	14	2	6.5	0.307
נבמ	92	2	8.4	0.239
רנמ	290	2	9.3	0.216
אפך	101	2	1.4	1.431
וךכ	46	2	3.2	0.634
םקט	149	2	0.3	6.215
ןלר	280	2	6.0	0.335
מדא	45	2	9.8	0.203
ץוע	166	2	1.3	1.577
םשא	341	2	16.0	0.125
תטו	415	2	3.5	0.565
זון	63	2	1.0	1.945
רדע	274	2	5.1	0.389
יאע	81	2	34.3	0.058
אהד	10	2	19.1	0.105
וןק	156	2	2.2	0.914
צרן	340	2	0.8	2.459
חגי	21	2	1.7	1.167
ףלה	115	2	1.8	1.115
